eta,decay,margin,max_digital,min_resolved,loss_clip,fold2_country_horizon_balanced_WIS
0.5,0.95,0.05,0.5,4,5.0,0.19995883482438756
1.0,0.95,0.05,0.5,4,5.0,0.19999458306644166
2.0,0.95,0.05,0.5,4,5.0,0.2000827728196699
0.5,0.95,0.0,0.5,4,5.0,0.200098237794906
1.0,0.95,0.0,0.5,4,5.0,0.20014420338351
0.5,0.95,0.025,0.5,4,5.0,0.20021713327068189
2.0,0.95,0.0,0.5,4,5.0,0.20025115012576833
1.0,0.95,0.025,0.5,4,5.0,0.20025288151273601
0.5,0.9,0.025,0.5,4,5.0,0.20032893187708098
2.0,0.95,0.025,0.5,4,5.0,0.20034107126596432
0.5,0.9,0.0,0.5,4,5.0,0.2003634285390032
1.0,0.9,0.025,0.5,4,5.0,0.200440558542012
1.0,0.9,0.0,0.5,4,5.0,0.20047042625208833
2.0,0.98,0.0,0.5,4,5.0,0.20054947674006196
0.5,0.9,0.05,0.5,4,5.0,0.20059949644713618
2.0,0.98,0.025,0.5,4,5.0,0.20060373006154977
1.0,0.98,0.0,0.5,4,5.0,0.20065149634124838
2.0,0.9,0.025,0.5,4,5.0,0.20069077542131655
2.0,0.98,0.05,0.5,4,5.0,0.20069256641523836
1.0,0.98,0.025,0.5,4,5.0,0.20070574966273622
1.0,0.9,0.05,0.5,4,5.0,0.20070618899826143
2.0,0.9,0.0,0.5,4,5.0,0.20071414672027452
0.5,0.98,0.0,0.5,4,5.0,0.20071945239124267
0.5,0.98,0.025,0.5,4,5.0,0.20077370571273048
1.0,0.98,0.05,0.5,4,5.0,0.20079458601642478
0.5,0.98,0.05,0.5,4,5.0,0.20086254206641907
0.5,0.9,0.0,0.3,4,5.0,0.20093974345553858
2.0,0.9,0.05,0.5,4,5.0,0.2009480992557653
0.5,0.9,0.025,0.3,4,5.0,0.20095486515187166
1.0,0.9,0.0,0.3,4,5.0,0.20099781726404842
0.5,0.95,0.05,0.3,4,5.0,0.20100312545753143
1.0,0.9,0.025,0.3,4,5.0,0.20101571633148918
0.5,0.95,0.0,0.3,4,5.0,0.20101604776873358
1.0,0.95,0.05,0.3,4,5.0,0.2010267836861053
1.0,0.95,0.0,0.3,4,5.0,0.20104583640523735
2.0,0.95,0.05,0.3,4,5.0,0.20108007899565225
0.5,0.95,0.025,0.3,4,5.0,0.20110781856190374
2.0,0.95,0.0,0.3,4,5.0,0.2011103859082023
1.0,0.95,0.025,0.3,4,5.0,0.20113147679047763
0.5,0.9,0.05,0.3,4,5.0,0.20113388440538427
2.0,0.9,0.0,0.3,4,5.0,0.20113971312858636
2.0,0.9,0.025,0.3,4,5.0,0.20115616936816894
2.0,0.95,0.025,0.3,4,5.0,0.20118477210002453
1.0,0.9,0.05,0.3,4,5.0,0.20119539782158669
2.0,0.9,0.05,0.3,4,5.0,0.20133461576347977
2.0,0.98,0.0,0.3,4,5.0,0.20155391050358018
2.0,0.98,0.025,0.3,4,5.0,0.2015968551475467
1.0,0.98,0.0,0.3,4,5.0,0.201613367500899
2.0,0.98,0.05,0.3,4,5.0,0.20165106933108276
0.5,0.98,0.0,0.3,4,5.0,0.2016541411308956
1.0,0.98,0.025,0.3,4,5.0,0.20165631214486557
0.5,0.98,0.025,0.3,4,5.0,0.20169708577486212
1.0,0.98,0.05,0.3,4,5.0,0.2017105263284016
0.5,0.98,0.05,0.3,4,5.0,0.20175129995839816
