feature,nonmissing_rows,missing_rows,missing_rate
baidu_has_data,8865,0,0.0
douyin_has_data,8865,0,0.0
google_has_data,8865,0,0.0
toutiao_has_data,8865,0,0.0
weibo_has_data,8865,0,0.0
wiki_has_data,8865,0,0.0
x_twitter_has_data,8865,0,0.0
wiki_global__all,8490,375,0.04230118443316413
wiki_global__disease_core,8490,375,0.04230118443316413
wiki_global__symptom,8490,375,0.04230118443316413
wiki_global__treatment,8490,375,0.04230118443316413
wiki_global__vaccine,8284,581,0.06553863508178229
google_gt_yearwise__all,7092,1773,0.2
google_gt_yearwise__care_seeking,7092,1773,0.2
google_gt_yearwise__disease_core,7092,1773,0.2
google_gt_yearwise__symptom,7092,1773,0.2
google_gt_yearwise__treatment,7092,1773,0.2
google_gt_yearwise__vaccine,7092,1773,0.2
x_twitter_raw__GLOBAL__comments,6149,2716,0.3063733784545967
x_twitter_raw__GLOBAL__engagement,6149,2716,0.3063733784545967
x_twitter_raw__GLOBAL__favorites,6149,2716,0.3063733784545967
x_twitter_raw__GLOBAL__posts,6149,2716,0.3063733784545967
x_twitter_raw__GLOBAL__posts_en,6149,2716,0.3063733784545967
x_twitter_raw__GLOBAL__quotes,6149,2716,0.3063733784545967
x_twitter_raw__GLOBAL__retweets,6149,2716,0.3063733784545967
x_twitter_raw__GLOBAL__views,6149,2716,0.3063733784545967
x_twitter_zglobal__GLOBAL__comments,6149,2716,0.3063733784545967
x_twitter_zglobal__GLOBAL__engagement,6149,2716,0.3063733784545967
x_twitter_zglobal__GLOBAL__favorites,6149,2716,0.3063733784545967
x_twitter_zglobal__GLOBAL__posts,6149,2716,0.3063733784545967
x_twitter_zglobal__GLOBAL__posts_en,6149,2716,0.3063733784545967
x_twitter_zglobal__GLOBAL__quotes,6149,2716,0.3063733784545967
x_twitter_zglobal__GLOBAL__retweets,6149,2716,0.3063733784545967
x_twitter_zglobal__GLOBAL__views,6149,2716,0.3063733784545967
baidu_raw__CN__乙流_search_total,1773,7092,0.8
baidu_raw__CN__流感_search_total,1773,7092,0.8
baidu_raw__CN__甲流_search_total,1773,7092,0.8
baidu_raw__CN__疫苗_search_total,1773,7092,0.8
baidu_zglobal__CN__all,1773,7092,0.8
baidu_zglobal__CN__disease_core,1773,7092,0.8
baidu_zglobal__CN__vaccine,1773,7092,0.8
weibo_raw__CN__all_comments,1566,7299,0.8233502538071066
weibo_raw__CN__all_engagement,1566,7299,0.8233502538071066
weibo_raw__CN__all_likes,1566,7299,0.8233502538071066
weibo_raw__CN__all_posts,1566,7299,0.8233502538071066
weibo_raw__CN__all_reposts,1566,7299,0.8233502538071066
weibo_zglobal__CN__all_comments,1566,7299,0.8233502538071066
weibo_zglobal__CN__all_engagement,1566,7299,0.8233502538071066
weibo_zglobal__CN__all_likes,1566,7299,0.8233502538071066
weibo_zglobal__CN__all_posts,1566,7299,0.8233502538071066
weibo_zglobal__CN__all_reposts,1566,7299,0.8233502538071066
douyin_raw__CHN__流感_search_index,1149,7716,0.8703891708967851
douyin_zglobal__CHN__all,1149,7716,0.8703891708967851
douyin_zglobal__CHN__disease_core,1149,7716,0.8703891708967851
toutiao_raw__CHN__流感_search_index,1149,7716,0.8703891708967851
toutiao_raw__CHN__流行性感冒_search_index,1149,7716,0.8703891708967851
toutiao_raw__CHN__甲流_search_index,1149,7716,0.8703891708967851
toutiao_raw__CHN__疫苗_search_index,1149,7716,0.8703891708967851
toutiao_zglobal__CHN__all,1149,7716,0.8703891708967851
toutiao_zglobal__CHN__disease_core,1149,7716,0.8703891708967851
toutiao_zglobal__CHN__vaccine,1149,7716,0.8703891708967851
