official_delay_weeks,horizon_weeks,SAFE_LSTM_WIS,no_digital_LSTM_WIS,improvement_percent,SAFE_coverage_80
0,1,0.1520633708225497,0.1576609375280318,3.55038273477657,0.8334135772749157
0,2,0.2345129085064663,0.2449275834253901,4.25214456178077,0.7472315840154069
0,3,0.313959649282791,0.3295329960320698,4.72588388319184,0.7074305889905311
0,4,0.3673997650268127,0.385518679557791,4.699879796164895,0.6921039961482909
1,1,0.2510306368618296,0.2665421901209732,5.819548962250034,0.7932113625421281
1,2,0.3227161955226963,0.3388104742311404,4.7502305662086455,0.7488364628470551
1,3,0.3734855741118708,0.3962945409806688,5.755559188969661,0.7235596212485959
1,4,0.4171100216096563,0.4414520597331355,5.514084165377847,0.7028566843203338
2,1,0.3164961459306958,0.3457119990148722,8.450922492545468,0.7376825549670999
2,2,0.3787275612915088,0.405947694696986,6.7053302090544635,0.7343123094206389
2,3,0.4176294866519097,0.4347977223557591,3.9485569544456007,0.7380837746750121
2,4,0.4528639075075895,0.470677381059361,3.7846461862430005,0.6978815599422243
