country,horizon,probability_threshold,n_events,n_alarms,matched,sensitivity,PPV,F1,mean_lead_weeks
CHN,1,0.45,7,14,7,1.0,0.5,0.6666666666666666,3.2857142857142856
CHN,2,0.3500000000000001,7,14,7,1.0,0.5,0.6666666666666666,3.4285714285714284
CHN,3,0.9000000000000002,7,4,2,0.2857142857142857,0.5,0.3636363636363636,2.0
CHN,4,0.6500000000000001,8,11,7,0.875,0.6363636363636364,0.7368421052631579,4.285714285714286
JPN,1,0.8500000000000002,3,7,3,1.0,0.4285714285714285,0.6,3.6666666666666665
JPN,2,0.5500000000000002,2,7,2,1.0,0.2857142857142857,0.4444444444444445,3.5
JPN,3,0.8500000000000002,2,6,2,1.0,0.3333333333333333,0.5,4.5
JPN,4,0.45,2,7,2,1.0,0.2857142857142857,0.4444444444444445,4.5
USA,1,0.9000000000000002,3,7,3,1.0,0.4285714285714285,0.6,4.0
USA,2,0.8000000000000002,3,7,3,1.0,0.4285714285714285,0.6,4.666666666666667
USA,3,0.9000000000000002,3,7,3,1.0,0.4285714285714285,0.6,4.666666666666667
USA,4,0.8500000000000002,3,7,3,1.0,0.4285714285714285,0.6,5.333333333333333
