evaluation,official_delay_weeks,horizon,model,model_label,model_WIS,persistence_WIS,block_weeks,diff_WIS_model_minus_persistence,ci_low_diff,ci_high_diff,prob_model_better,n_pairs,WIS_reduction_vs_persistence_pct,ci_low_reduction_pct,ci_high_reduction_pct
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,BioEpi-SAFE-LSTM,0.15206337082254973,0.20573674585383783,8,-0.05367337503128813,-0.08825486105906868,-0.029550636531767795,1.0,196,26.088375612502134,14.363324553000144,42.89698502462358
temporal_external_2025_2026,0,1,bioepi_sgq_lstm_no_digital,Surveillance SGQ-LSTM,0.15766093752803184,0.20573674585383783,8,-0.04807580832580599,-0.08213813402840062,-0.025105932050434147,1.0,196,23.367633295785005,12.202940192448766,39.92390065640207
temporal_external_2025_2026,0,1,bioepi_sgq_lstm_full_raw,Full digital SGQ-LSTM,0.16719188558567635,0.20573674585383783,8,-0.038544860268161465,-0.06575553644812937,-0.01941474375043545,1.0,196,18.735039337865782,9.436692346747005,31.961007342287928
temporal_external_2025_2026,0,1,gb_full_raw,Digital gradient boosting,0.23957909650376116,0.20573674585383783,8,0.033842350649923324,-0.015126187559778381,0.07894784377898834,0.15,196,-16.449346717074082,-38.3732344221462,7.352205118731937
temporal_external_2025_2026,0,1,seasonal_naive,Seasonal naive,0.4881276907179582,0.20573674585383783,8,0.2823909448641204,0.22053332971958034,0.3818209672431949,0.0,196,-137.2583899352332,-185.58715199785124,-107.19199859234408
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,BioEpi-SAFE-LSTM,0.2345129085064663,0.3407671945119532,8,-0.10625428600548692,-0.17919039088867747,-0.052700280002575574,1.0,196,31.180902304185796,15.465185866278272,52.58440183636631
temporal_external_2025_2026,0,2,bioepi_sgq_lstm_no_digital,Surveillance SGQ-LSTM,0.24492758342539012,0.3407671945119532,8,-0.09583961108656307,-0.16618933321756701,-0.04158841758781877,1.0,196,28.124658896178246,12.20434896832769,48.769170241162264
temporal_external_2025_2026,0,2,bioepi_sgq_lstm_full_raw,Full digital SGQ-LSTM,0.26429240196115006,0.3407671945119532,8,-0.07647479255080313,-0.12466689382035914,-0.03625033282677069,1.0,196,22.44194681366859,10.637858752421407,36.58418293430712
temporal_external_2025_2026,0,2,gb_full_raw,Digital gradient boosting,0.29964826329400823,0.3407671945119532,8,-0.04111893121794497,-0.13134825900037672,0.01187549543579679,0.9515,196,12.066575621176067,-3.484929191263518,38.54486614783847
temporal_external_2025_2026,0,2,seasonal_naive,Seasonal naive,0.48109366963480094,0.3407671945119532,8,0.14032647512284774,0.07735190998956261,0.22717371314826756,0.0005,196,-41.17957285290426,-66.66537061280965,-22.699341731044864
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,BioEpi-SAFE-LSTM,0.3139596492827909,0.45211272479762604,8,-0.13815307551483513,-0.2339545287469598,-0.06778477503129657,1.0,196,30.5572190158273,14.992892549449538,51.746946262501716
temporal_external_2025_2026,0,3,bioepi_sgq_lstm_no_digital,Surveillance SGQ-LSTM,0.32953299603206976,0.45211272479762604,8,-0.12257972876555633,-0.2223826584106654,-0.04960680277240216,1.0,196,27.112647364752952,10.972219991066847,49.187436277138175
temporal_external_2025_2026,0,3,bioepi_sgq_lstm_full_raw,Full digital SGQ-LSTM,0.34078347983455654,0.45211272479762604,8,-0.11132924496306958,-0.17408399096589497,-0.056633844864381194,1.0,196,24.62422286674249,12.526487700546705,38.50455459837327
temporal_external_2025_2026,0,3,gb_full_raw,Digital gradient boosting,0.4102954083266563,0.45211272479762604,8,-0.04181731647096983,-0.16819631066954474,0.04330118072314847,0.892,196,9.249311991757814,-9.577518691280117,37.202295233966815
temporal_external_2025_2026,0,3,seasonal_naive,Seasonal naive,0.4765842428670524,0.45211272479762604,8,0.024471518069426396,-0.06577196991317057,0.13218078565302363,0.239,196,-5.412702790079686,-29.23624538818061,14.547692711504926
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,BioEpi-SAFE-LSTM,0.36739976502681265,0.5405475717748068,8,-0.17314780674799404,-0.28790501743583974,-0.08627921510537735,1.0,196,32.031927584003235,15.961447171447372,53.26173540851304
temporal_external_2025_2026,0,4,bioepi_sgq_lstm_no_digital,Surveillance SGQ-LSTM,0.385518679557791,0.5405475717748068,8,-0.1550288922170158,-0.26664695071494177,-0.06509512524640995,1.0,196,28.679971997284476,12.042441525114965,49.329044220742034
temporal_external_2025_2026,0,4,bioepi_sgq_lstm_full_raw,Full digital SGQ-LSTM,0.41079224486542376,0.5405475717748068,8,-0.129755326909383,-0.1961341535744037,-0.06792346745364028,1.0,196,24.004423233897963,12.56567802730549,36.28434643234575
temporal_external_2025_2026,0,4,gb_full_raw,Digital gradient boosting,0.4588263589256019,0.5405475717748068,8,-0.08172121284920482,-0.25588255289129236,0.04739112368253926,0.917,196,15.118227722471397,-8.767243838860958,47.33765652690667
temporal_external_2025_2026,0,4,seasonal_naive,Seasonal naive,0.4756799038535384,0.5405475717748068,8,-0.06486766792126834,-0.1915501186840728,0.060702217530788895,0.827,196,12.000362467319036,-11.229764168856086,35.43631100869563
