evaluation,delay,horizon,model_A,model_B,block_weeks,mean_diff_A_minus_B,ci_low,ci_high,prob_A_better,n_pairs,denominator_WIS,wis_reduction_pct,ci_low_reduction_pct,ci_high_reduction_pct
temporal_external_2025_2026,0,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.005597566705482,-0.0139497638751326,-0.0002283331119536,0.9805,196,0.1576609375280318,3.550382734776497,0.14482541809888883,8.847951873083566
temporal_external_2025_2026,0,2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.0104146749189238,-0.022304565557519,-0.0020566905299457,0.997,196,0.2449275834253901,4.252144561780777,0.8397137232083988,9.106596017313594
temporal_external_2025_2026,0,3,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.0155733467492788,-0.0370170437886158,0.0014521980725784,0.9615,196,0.3295329960320698,4.725883883191842,-0.44068366144344273,11.233182787259743
temporal_external_2025_2026,0,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.0181189145309782,-0.0510339647056089,0.0059852326662501,0.9295,196,0.385518679557791,4.6998797961648675,-1.5525143095829903,13.237741103530283
temporal_external_2025_2026,1,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.0155115532591436,-0.0344546843737601,-0.0015842582615702,0.9855,196,0.2665421901209732,5.819548962250031,0.5943742943100927,12.926540581857774
temporal_external_2025_2026,1,2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.0160942787084441,-0.0359684090002215,-0.0012476424125099,0.9845,196,0.3388104742311404,4.7502305662086455,0.3682419840594255,10.61608531490778
temporal_external_2025_2026,1,3,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.022808966868798,-0.050406901692109,0.0029130060547928,0.9595,196,0.3962945409806688,5.755559188969656,-0.7350608584171479,12.719554896560597
temporal_external_2025_2026,1,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.0243420381234792,-0.0647111066372823,0.0094676144796593,0.927,196,0.4414520597331355,5.514084165377851,-2.1446529177783464,14.658694010036141
temporal_external_2025_2026,2,1,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.0292158530841763,-0.0600173472727362,-0.0041315352657635,0.9945,196,0.3457119990148722,8.450922492545438,1.1950800890731494,17.360504536654602
temporal_external_2025_2026,2,2,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.0272201334054771,-0.0569043494320099,-0.0020676001606278,0.9845,196,0.405947694696986,6.705330209054442,0.5093267402765106,14.017655519508581
temporal_external_2025_2026,2,3,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.0171682357038494,-0.0434946809018475,0.0091579080386356,0.886,196,0.4347977223557591,3.9485569544456007,-2.1062456328008174,10.003428874049941
temporal_external_2025_2026,2,4,bioepi_safe_lstm_common_scale,bioepi_sgq_lstm_no_digital,8,-0.0178134735517714,-0.0536342725079449,0.0106164993256499,0.8685,196,0.470677381059361,3.7846461862429703,-2.255578821687836,11.395124275406944
