country,region,horizon,safe_WIS,coverage_80,n,persistence_WIS,relative_WIS_vs_persistence,WIS_reduction_vs_persistence_pct
CHN,northern_provinces,1,0.1704861364374574,0.8709677419354839,62.0,0.2226273485668369,0.7657915235255754,23.420847647442457
CHN,southern_provinces,1,0.1592311287713914,0.9193548387096774,62.0,0.2113885465310765,0.7532628015301795,24.673719846982046
USA,hhs1,1,0.2022098411891996,0.6865671641791045,67.0,0.2868525049168384,0.7049261823522245,29.507381764777552
USA,hhs10,1,0.1457290845927457,0.746268656716418,67.0,0.2056833787883302,0.708511720544596,29.1488279455404
USA,hhs2,1,0.14783646029215,0.7164179104477612,67.0,0.2051101412782061,0.720766215511638,27.9233784488362
USA,hhs3,1,0.1161015760113125,0.7164179104477612,67.0,0.1659711991779155,0.699528451842151,30.047154815784904
USA,hhs4,1,0.1288289856987907,0.7611940298507462,67.0,0.1818849630648113,0.7082992652497881,29.170073475021184
USA,hhs5,1,0.1794262355905553,0.6567164179104478,67.0,0.249533363706179,0.7190470762131288,28.09529237868712
USA,hhs6,1,0.127094126257727,0.7164179104477612,67.0,0.1647093596017166,0.7716266189429252,22.837338105707484
USA,hhs7,1,0.1395327318524065,0.7910447761194029,67.0,0.1837220561087241,0.7594773039652518,24.05226960347482
USA,hhs8,1,0.1062204271643982,0.7313432835820896,67.0,0.1482274285406349,0.7166043977837682,28.339560221623184
USA,hhs9,1,0.0971865814024193,0.835820895522388,67.0,0.1538413938162944,0.6317323250364728,36.826767496352716
CHN,northern_provinces,2,0.2520727401855333,0.7580645161290323,62.0,0.3559554348113713,0.7081581443449858,29.18418556550142
CHN,southern_provinces,2,0.2476323067901914,0.8870967741935484,62.0,0.3466212912762599,0.7144174723901381,28.558252760986193
USA,hhs1,2,0.3777179877167032,0.6119402985074627,67.0,0.5405080495795684,0.698820282159552,30.117971784044794
USA,hhs10,2,0.2482083296755489,0.7611940298507462,67.0,0.3628827227116026,0.6839904854682486,31.600951453175142
USA,hhs2,2,0.2626890304287742,0.6417910447761194,67.0,0.3771703402507532,0.6964731910100124,30.352680898998763
USA,hhs3,2,0.2038531420245456,0.6716417910447762,67.0,0.3110512970028736,0.6553682430800548,34.46317569199452
USA,hhs4,2,0.2255675577363956,0.7014925373134329,67.0,0.312651791696137,0.7214657447273559,27.85342552726441
USA,hhs5,2,0.3272663062076224,0.6119402985074627,67.0,0.4490299175128281,0.7288296245834731,27.11703754165269
USA,hhs6,2,0.188091795017465,0.8059701492537313,67.0,0.242014762272904,0.7771914128335955,22.280858716640452
USA,hhs7,2,0.2369082565043105,0.7164179104477612,67.0,0.3226150354366155,0.7343373075705769,26.566269242942308
USA,hhs8,2,0.187126441646916,0.7611940298507462,67.0,0.2544020025801679,0.7355541220157974,26.44458779842026
USA,hhs9,2,0.1528301997549618,0.7611940298507462,67.0,0.2595167444890561,0.5889030399786273,41.10969600213728
CHN,northern_provinces,3,0.3318098535392329,0.8064516129032258,62.0,0.4755480494043367,0.6977420135669828,30.225798643301715
CHN,southern_provinces,3,0.3212351967104662,0.9032258064516128,62.0,0.4498355233307883,0.7141170051042071,28.588299489579295
USA,hhs1,3,0.512120863314072,0.5522388059701493,67.0,0.7511654435687211,0.6817684009544299,31.82315990455701
USA,hhs10,3,0.294328635016802,0.7313432835820896,67.0,0.4657959813759718,0.6318831565428036,36.81168434571964
USA,hhs2,3,0.3402772277116164,0.6417910447761194,67.0,0.5240089707222653,0.6493729052817491,35.062709471825094
USA,hhs3,3,0.272965086135397,0.5970149253731343,67.0,0.4093916588300409,0.6667578106390256,33.32421893609744
USA,hhs4,3,0.2631881304796658,0.7014925373134329,67.0,0.399151995106856,0.6593681948381803,34.063180516181966
USA,hhs5,3,0.4286211593616467,0.5223880597014925,67.0,0.5857618102712291,0.7317328508718919,26.82671491281081
USA,hhs6,3,0.2171078156615794,0.8507462686567164,67.0,0.2978024506093618,0.7290330056630984,27.096699433690162
USA,hhs7,3,0.2700309550376489,0.7611940298507462,67.0,0.4088934361695915,0.6603944479207821,33.96055520792179
USA,hhs8,3,0.2383963733072165,0.7761194029850746,67.0,0.3324174600418441,0.717159601896987,28.284039810301298
USA,hhs9,3,0.1811340511944165,0.7014925373134329,67.0,0.3246867377456821,0.5578732671745086,44.21267328254914
CHN,northern_provinces,4,0.4195457689889443,0.8064516129032258,62.0,0.5743622319043563,0.7304550085020348,26.95449914979652
CHN,southern_provinces,4,0.3971706060810594,0.8387096774193549,62.0,0.5284898667862878,0.7515198134189929,24.848018658100713
USA,hhs1,4,0.6001534941406149,0.5671641791044776,67.0,0.913404236177574,0.6570513583910504,34.29486416089495
USA,hhs10,4,0.3308193233300678,0.7910447761194029,67.0,0.5310008196516689,0.6230109466630991,37.69890533369009
USA,hhs2,4,0.4041119417014105,0.6865671641791045,67.0,0.6341052626329334,0.6372947293063866,36.270527069361336
USA,hhs3,4,0.3025146516280657,0.5970149253731343,67.0,0.4801815454780787,0.6300005788995406,36.999942110045936
USA,hhs4,4,0.2755025739273674,0.7910447761194029,67.0,0.4552090339766844,0.6052221141583901,39.47778858416099
USA,hhs5,4,0.4959651792305384,0.4477611940298507,67.0,0.7102118260246023,0.6983341603964756,30.166583960352444
USA,hhs6,4,0.2167233232512943,0.7761194029850746,67.0,0.3200420874633982,0.6771713213377912,32.282867866220876
USA,hhs7,4,0.2895385080510753,0.6716417910447762,67.0,0.4675779750686188,0.6192304246336334,38.076957536636655
USA,hhs8,4,0.2752779115360126,0.7910447761194029,67.0,0.3800550762674739,0.7243105768761747,27.56894231238253
USA,hhs9,4,0.2064287609390081,0.7611940298507462,67.0,0.374472883453005,0.5512515593533335,44.874844064666654
