country,horizon,coverage_50,coverage_80,coverage_95,width_50,width_80,width_95,n
CHN,1,0.6612903225806451,0.9032258064516128,0.967741935483871,0.4953923370441289,0.9200263593057968,1.7306945585465527,62.0
JPN,1,0.6417910447761194,0.7761194029850746,0.9552238805970148,0.2268282783100894,0.5051502601633665,1.828910055552279,67.0
USA,1,0.4776119402985074,0.8208955223880597,0.9552238805970148,0.2430780356583088,0.4865215211564591,0.9510416743693066,67.0
CHN,2,0.6612903225806451,0.8387096774193549,0.9838709677419356,0.7984770854895452,1.2403389738202126,2.3470150717904525,62.0
JPN,2,0.6865671641791045,0.7313432835820896,0.9253731343283582,0.4191267882084635,0.6286912752074414,2.614231268810125,67.0
USA,2,0.3283582089552239,0.6716417910447762,0.9104477611940298,0.3064571466342399,0.67444845896433,1.3465297479139595,67.0
CHN,3,0.7096774193548387,0.8387096774193549,0.8709677419354839,1.1895019369527648,1.6135283166885,2.406427710192983,62.0
JPN,3,0.5522388059701493,0.6865671641791045,0.9850746268656716,0.3262796289489357,0.8278789406620805,4.790076268184216,67.0
USA,3,0.2835820895522388,0.5970149253731343,0.8805970149253731,0.3762992824012199,0.7795805785766841,1.5970381750780234,67.0
CHN,4,0.6129032258064516,0.8225806451612904,0.8870967741935484,1.2056984682340637,1.8830951076514697,2.777327411741739,62.0
JPN,4,0.5970149253731343,0.6716417910447762,1.0,0.4385850134140115,0.8420207129747665,6.008337057206484,67.0
USA,4,0.373134328358209,0.582089552238806,0.9253731343283582,0.4721431952548217,0.9182099891150276,2.2032777902587504,67.0
